864,0.77
137,0.13
978,0.95
243,0.21
241,0.27
637,0.6
812,0.78
331,0.37
232,0.29
474,0.53
585,0.62
463,0.5
485,0.54
265,0.31
109,0.11
988,0.96
370,0.42
534,0.45
185,0.16
693,0.74
927,0.93
168,0.15
981,0.95
947,0.91
729,0.68
386,0.39
765,0.7
664,0.65
115,0.09
561,0.54
552,0.53
12,0.01
79,0.12
584,0.63
541,0.5
561,0.53
336,0.35
698,0.71
654,0.68
214,0.24
469,0.49
390,0.36
654,0.66
39,0.03
418,0.49
278,0.26
909,0.89
360,0.36
561,0.59
68,0.05
509,0.51
249,0.19
1001,0.98
631,0.64
935,0.89
92,0.05
989,0.98
43,0.03
594,0.59
229,0.19
315,0.32
506,0.58
950,0.89
455,0.48
487,0.49
424,0.37
72,0.05
76,0.11
759,0.7
700,0.66
931,0.9
331,0.39
75,0.06
286,0.35
880,0.82
461,0.42
379,0.37
818,0.77
834,0.81
148,0.12
278,0.29
518,0.49
148,0.15
508,0.54
749,0.72
204,0.17
810,0.77
149,0.15
407,0.42
83,0.1
208,0.2
85,0.04
431,0.31
934,0.81
559,0.54
778,0.81
379,0.4
199,0.19
364,0.34
413,0.47
149,0.1
595,0.58
151,0.08
1002,0.96
982,0.97
899,0.82
727,0.75
252,0.17
133,0.13
286,0.24
956,0.92
847,0.79
492,0.45
31,0.02
246,0.27
917,0.88
841,0.91
245,0.16
728,0.69
948,0.91
527,0.54
89,0.09
522,0.44
53,0.07
983,0.96
921,0.91
586,0.53
45,0.05
962,0.98
600,0.68
532,0.58
323,0.31
422,0.31
505,0.45
495,0.42
685,0.71
589,0.54
74,0.1
198,0.15
1,0.01
790,0.76
529,0.49
596,0.58
928,0.89
459,0.56
891,0.8
136,0.13
619,0.65
413,0.31
72,0.08
843,0.78
723,0.71
1001,1.0
1017,1.0
208,0.19
594,0.65
499,0.49
626,0.58
700,0.74
403,0.41
125,0.16
530,0.45
54,0.03
554,0.55
97,0.09
17,0.02
183,0.14
234,0.22
763,0.7
261,0.24
806,0.87
800,0.75
360,0.35
331,0.3
823,0.78
454,0.4
30,0.03
991,0.98
971,0.94
923,0.94
147,0.18
594,0.6
462,0.44
110,0.1
282,0.2
921,0.89
350,0.32
359,0.36
808,0.74
495,0.41
76,0.08
777,0.73
382,0.35
575,0.58
834,0.9
609,0.5
664,0.68
552,0.45
54,0.05
352,0.32
46,0.09
68,0.09
782,0.77
92,0.1
406,0.32
444,0.42
8,0.02
518,0.57
285,0.28
570,0.62
393,0.38
578,0.52
405,0.45
155,0.16
529,0.52
45,0.07
879,0.85
983,0.96
307,0.36
714,0.7
765,0.8
251,0.27
797,0.85
340,0.29
65,0.05
716,0.68
495,0.5
408,0.43
941,0.92
541,0.48
721,0.66
875,0.8
287,0.34
698,0.66
350,0.34
355,0.42
689,0.56
637,0.59
814,0.73
121,0.13
884,0.87
704,0.72
343,0.4
1001,0.99
968,0.94
128,0.2
949,0.97
469,0.47
856,0.85
277,0.26
396,0.41
455,0.43
795,0.75
551,0.58
383,0.4
56,0.06
500,0.55
324,0.29
669,0.6
40,0.01
215,0.15
443,0.46
320,0.33
759,0.71
636,0.7
828,0.87
989,0.95
202,0.21
773,0.71
40,0.03
867,0.89
495,0.45
1002,0.98
196,0.16
147,0.09
777,0.76
381,0.33
923,0.93
928,0.94
420,0.27
317,0.25
20,0.01
687,0.64
742,0.68
33,0.05
594,0.7
503,0.53
569,0.6
957,0.93
869,0.79
555,0.55
674,0.61
786,0.8
489,0.52
180,0.13
882,0.87
74,0.08
538,0.56
210,0.21
372,0.38
612,0.68
408,0.41
988,0.96
32,0.01
137,0.19
186,0.16
440,0.41
653,0.61
191,0.13
64,0.12
564,0.56
840,0.85
665,0.58
578,0.57
201,0.23
419,0.49
27,0.02
473,0.51
715,0.67
182,0.16
456,0.48
282,0.18
894,0.82
750,0.75
604,0.53
563,0.59
106,0.12
883,0.89
657,0.58
849,0.77
973,0.95
855,0.85
254,0.24
568,0.59
946,0.94
148,0.09
6,0.0
206,0.15
112,0.07
144,0.15
409,0.47
596,0.44
123,0.11
192,0.25
385,0.42
789,0.76
573,0.57
358,0.34
